chords,path,melspectogram
c,./Guitar_Only/c/c32.wav,"[[-38.93371  -37.327267 -37.478386 ... -33.77605  -35.776733 -34.324715]
 [-54.63282  -58.826935 -48.74857  ... -54.595295 -54.01763  -49.87169 ]
 [-49.750614 -54.703106 -41.806007 ... -42.22227  -41.972126 -43.521423]
 ...
 [-76.0281   -76.0281   -52.77964  ... -76.0281   -76.0281   -73.95427 ]
 [-76.0281   -76.0281   -58.766785 ... -76.0281   -76.0281   -76.0281  ]
 [-76.0281   -76.0281   -72.33861  ... -76.0281   -76.0281   -76.0281  ]]"
c,./Guitar_Only/c/c110.wav,"[[-13.689795  -17.39606   -22.786411  ... -22.706142  -21.537785
   -5.111475 ]
 [ -6.1415977  -8.175292  -15.947821  ... -19.980957  -18.226997
   -3.3272445]
 [  6.8956428  12.080839   13.786266  ...  -6.916122   -6.695511
   -1.4126954]
 ...
 [-23.725365  -21.570572  -24.763144  ... -46.16036   -46.16036
  -46.16036  ]
 [-23.923035  -22.38428   -26.944092  ... -46.16036   -46.16036
  -46.16036  ]
 [-34.355145  -36.384407  -37.479733  ... -46.16036   -46.16036
  -46.16036  ]]"
c,./Guitar_Only/c/c170.wav,"[[-14.36447   -17.712687  -22.494064  ... -22.878376  -22.948751
  -16.409416 ]
 [-13.347449  -19.250525  -37.230198  ... -42.712013  -34.736397
  -17.388193 ]
 [ -9.586991   -5.7593656  -5.714021  ... -41.426525  -30.831997
  -13.758528 ]
 ...
 [-41.254707  -45.868355  -50.536938  ... -53.67275   -54.591198
  -54.394726 ]
 [-39.644688  -45.341034  -56.15705   ... -57.81891   -59.10434
  -58.854744 ]
 [-39.241173  -45.231586  -62.214966  ... -62.214966  -62.214966
  -62.214966 ]]"
c,./Guitar_Only/c/c107.wav,"[[-20.276644  -21.733784  -21.640152  ... -22.134586  -22.911942
  -18.483147 ]
 [-12.631212  -17.66372   -23.868675  ... -38.007065  -34.77082
  -17.807976 ]
 [  2.53405     2.9057841   1.4406395 ... -30.00734   -28.695675
  -12.024131 ]
 ...
 [-39.925236  -41.808167  -44.497116  ... -51.463867  -51.463867
  -51.463867 ]
 [-42.344704  -44.321075  -48.252007  ... -51.463867  -51.463867
  -51.463867 ]
 [-51.463867  -51.463867  -51.463867  ... -51.463867  -51.463867
  -51.463867 ]]"
c,./Guitar_Only/c/c88.wav,"[[-32.966084 -34.418816 -34.15127  ... -39.07719  -39.083954 -36.185135]
 [-43.751373 -44.285084 -44.732567 ... -50.297005 -48.48945  -36.73685 ]
 [-36.72274  -35.29355  -31.90456  ... -37.803646 -37.906895 -33.568474]
 ...
 [-75.027084 -64.413345 -60.180367 ... -79.74084  -78.97314  -77.083115]
 [-77.86228  -69.61299  -65.12694  ... -79.915    -79.915    -79.915   ]
 [-79.915    -79.915    -79.915    ... -79.915    -79.915    -79.915   ]]"
c,./Guitar_Only/c/c156.wav,"[[ 4.7102440e-03 -5.6704159e+00 -2.2882626e+01 ... -2.1959274e+01
  -2.2094303e+01 -2.2229977e+01]
 [ 1.4229829e+00 -4.7003398e+00 -2.2618282e+01 ... -2.7543306e+01
  -2.5880747e+01 -2.6994936e+01]
 [ 5.4426246e+00  1.6083468e+00 -4.1347516e-01 ... -1.3939123e+01
  -1.3098322e+01 -1.1626177e+01]
 ...
 [-2.3874935e+01 -2.5580702e+01 -2.2724506e+01 ... -5.3448029e+01
  -5.3585434e+01 -5.3035080e+01]
 [-2.7663404e+01 -2.8165985e+01 -2.4469242e+01 ... -5.6149658e+01
  -5.6149658e+01 -5.5549637e+01]
 [-3.4289623e+01 -3.8675922e+01 -3.5657867e+01 ... -5.6149658e+01
  -5.6149658e+01 -5.6149658e+01]]"
c,./Guitar_Only/c/c33.wav,"[[-43.479294 -40.472683 -40.97957  ... -48.72595  -45.924866 -37.87354 ]
 [-39.07843  -40.050106 -36.816963 ... -61.12951  -53.53117  -36.568825]
 [-24.316162 -27.937315 -30.155994 ... -55.446583 -50.39438  -34.49692 ]
 ...
 [-72.375626 -65.528534 -59.376255 ... -79.08388  -79.71868  -77.380875]
 [-75.08061  -64.653336 -62.14025  ... -80.00678  -80.00678  -80.00678 ]
 [-80.00678  -69.350685 -67.56378  ... -80.00678  -80.00678  -80.00678 ]]"
c,./Guitar_Only/c/c126.wav,"[[-22.523241  -22.078913  -21.6881    ... -21.832048  -23.372478
  -15.079192 ]
 [-26.624752  -26.7445    -29.937271  ... -39.08744   -32.927013
  -16.285053 ]
 [ -8.618311   -7.3916287 -10.471164  ... -36.88014   -34.285446
  -16.233963 ]
 ...
 [-31.17931   -29.916656  -32.48524   ... -53.695953  -53.427513
  -52.312614 ]
 [-33.62      -31.505358  -34.120335  ... -55.092415  -55.092415
  -55.092415 ]
 [-49.42421   -47.632835  -50.374115  ... -55.092415  -55.092415
  -55.092415 ]]"
c,./Guitar_Only/c/c160.wav,"[[-21.155226   -22.393572   -22.173218   ... -22.241764   -21.825184
   -4.8728447 ]
 [-15.473062   -14.878192   -16.664665   ... -42.69233    -23.172874
   -4.61197   ]
 [ -3.3228767    0.26354668   1.7104745  ... -37.714592   -22.226013
   -3.3619947 ]
 ...
 [-23.830097   -27.200155   -32.74205    ... -54.116867   -53.02231
  -53.237053  ]
 [-24.731785   -27.995209   -34.985474   ... -56.17893    -56.17893
  -56.17893   ]
 [-39.303436   -42.41493    -49.461937   ... -56.17893    -56.17893
  -56.17893   ]]"
c,./Guitar_Only/c/c125.wav,"[[ 17.148874   12.444693   -8.160414  ... -22.917854  -22.670897
  -19.508415 ]
 [  4.0745797   3.571875   -9.060476  ... -34.31777   -33.302784
  -28.147911 ]
 [ 14.550903   10.285383   -5.98285   ... -23.140648  -23.638676
  -28.2687   ]
 ...
 [-24.391462  -28.374758  -38.793297  ... -47.801613  -47.801613
  -47.801613 ]
 [-23.457394  -27.442572  -37.46939   ... -47.801613  -47.801613
  -47.801613 ]
 [-25.614162  -30.723743  -47.801613  ... -47.801613  -47.801613
  -47.801613 ]]"
c,./Guitar_Only/c/c41.wav,"[[-38.580776 -37.515293 -37.339565 ... -41.07627  -41.473495 -38.16045 ]
 [-44.028454 -43.33674  -44.553978 ... -48.10827  -47.936287 -36.61229 ]
 [-36.710606 -31.900036 -30.684353 ... -34.71398  -34.79957  -32.149563]
 ...
 [-75.19203  -74.88366  -76.903915 ... -78.36497  -77.85123  -76.283104]
 [-79.34623  -79.34623  -79.34623  ... -79.34623  -79.34623  -79.34623 ]
 [-79.34623  -79.34623  -79.34623  ... -79.34623  -79.34623  -79.34623 ]]"
c,./Guitar_Only/c/c8.wav,"[[-50.37085  -46.07555  -32.880234 ... -42.557465 -44.65057  -44.975998]
 [-62.99453  -65.45516  -39.3427   ... -45.65927  -45.580692 -45.289436]
 [-56.7646   -54.95151  -32.522896 ... -32.741215 -32.870403 -34.497986]
 ...
 [-70.18754  -67.09587  -53.770187 ... -70.18754  -70.18754  -70.18754 ]
 [-70.18754  -70.18754  -57.405327 ... -70.18754  -70.18754  -70.18754 ]
 [-70.18754  -70.18754  -70.18754  ... -70.18754  -70.18754  -70.18754 ]]"
c,./Guitar_Only/c/c15.wav,"[[-32.21766  -30.667982 -32.852676 ... -35.115936 -33.62494  -34.560364]
 [-38.31522  -35.03883  -37.604527 ... -56.79884  -57.700306 -49.503384]
 [-33.905827 -20.909414 -17.635208 ... -46.96941  -46.156677 -46.02173 ]
 ...
 [-73.80128  -68.677475 -70.50566  ... -78.55205  -78.55205  -74.71182 ]
 [-76.792534 -69.982895 -71.60453  ... -78.55205  -78.55205  -78.55205 ]
 [-78.55205  -78.55205  -78.55205  ... -78.55205  -78.55205  -78.55205 ]]"
c,./Guitar_Only/c/c57.wav,"[[-60.91166  -45.951927 -39.112617 ... -55.92533  -54.25245  -44.388153]
 [-60.880486 -46.74283  -40.364643 ... -45.561005 -45.38228  -41.58555 ]
 [-69.49321  -39.87969  -26.596375 ... -32.315727 -32.318428 -30.036135]
 ...
 [-68.31452  -50.440506 -45.516705 ... -78.486694 -78.209366 -77.17834 ]
 [-76.23944  -59.181046 -52.095543 ... -78.486694 -78.486694 -78.486694]
 [-78.486694 -65.98927  -60.64418  ... -78.486694 -78.486694 -78.486694]]"
c,./Guitar_Only/c/c175.wav,"[[-22.31572   -21.810759  -22.557304  ... -22.20518   -23.518948
  -14.204345 ]
 [-19.198132  -18.29843   -19.250996  ... -38.214966  -33.50786
  -16.169083 ]
 [ -9.829652   -2.0587325   1.9493141 ... -36.079536  -30.946741
  -16.258785 ]
 ...
 [-28.111994  -25.096052  -28.157372  ... -53.292507  -52.712402
  -53.414986 ]
 [-27.253334  -24.04062   -26.929253  ... -53.414986  -53.414986
  -53.414986 ]
 [-45.575336  -41.562733  -39.93855   ... -53.414986  -53.414986
  -53.414986 ]]"
c,./Guitar_Only/c/c74.wav,"[[-39.205284 -39.81218  -42.227333 ... -42.044838 -41.42858  -33.271107]
 [-73.59069  -58.112854 -47.16715  ... -37.907097 -37.640373 -29.60663 ]
 [-64.00366  -47.471634 -33.122467 ... -24.596329 -24.726463 -26.665775]
 ...
 [-77.22205  -76.90128  -66.49281  ... -77.22205  -77.22205  -77.22205 ]
 [-77.22205  -77.22205  -65.25234  ... -77.22205  -77.22205  -77.22205 ]
 [-77.22205  -77.22205  -75.09235  ... -77.22205  -77.22205  -77.22205 ]]"
c,./Guitar_Only/c/c63.wav,"[[-32.34409  -33.81386  -35.910088 ... -49.381767 -51.721123 -36.874214]
 [-64.96951  -51.62958  -42.78653  ... -66.53151  -55.483204 -36.832687]
 [-62.535263 -46.228504 -30.023315 ... -65.4737   -55.352837 -34.72583 ]
 ...
 [-74.46456  -70.406654 -58.36213  ... -79.10771  -78.19684  -78.77558 ]
 [-79.17658  -74.871254 -62.28872  ... -83.89288  -82.545685 -83.79856 ]
 [-81.26191  -85.143974 -75.07112  ... -88.98355  -88.98355  -88.98355 ]]"
c,./Guitar_Only/c/c10.wav,"[[-41.497818 -38.44251  -35.838425 ... -41.15988  -38.040672 -30.792408]
 [-40.999336 -35.433968 -36.96516  ... -46.055367 -43.94631  -28.37106 ]
 [-35.519356 -26.491386 -22.942516 ... -33.27888  -32.7162   -24.55446 ]
 ...
 [-71.65623  -72.64206  -71.34086  ... -78.0136   -78.0136   -74.713585]
 [-69.578445 -72.361855 -73.817856 ... -78.0136   -78.0136   -76.941925]
 [-69.65949  -74.73216  -78.0136   ... -78.0136   -78.0136   -78.0136  ]]"
c,./Guitar_Only/c/c59.wav,"[[-37.935394 -38.230812 -39.085346 ... -36.33964  -36.22659  -32.06016 ]
 [-49.781662 -38.54096  -39.37346  ... -68.8047   -51.35523  -33.691956]
 [-40.671368 -26.537401 -21.769373 ... -69.010956 -52.181248 -32.7873  ]
 ...
 [-60.681908 -54.05514  -49.427715 ... -77.876175 -77.41128  -77.12882 ]
 [-67.657646 -57.6523   -51.958504 ... -77.876175 -77.876175 -77.876175]
 [-77.876175 -69.87792  -64.730705 ... -77.876175 -77.876175 -77.876175]]"
c,./Guitar_Only/c/c151.wav,"[[-23.6928   -22.806997 -22.06583  ... -22.125824 -23.051262 -12.33865 ]
 [-37.772545 -26.40075  -22.706978 ... -40.31925  -30.239803 -12.160869]
 [-31.26251  -12.381454  -2.837533 ... -36.608463 -28.954515  -9.491226]
 ...
 [-51.294895 -32.91632  -25.818031 ... -53.22992  -53.208942 -50.55763 ]
 [-55.552467 -42.53641  -35.255455 ... -55.552467 -55.552467 -55.552467]
 [-55.552467 -55.552467 -49.766792 ... -55.552467 -55.552467 -55.552467]]"
c,./Guitar_Only/c/c108.wav,"[[-17.584494  -21.624775  -21.567642  ... -21.973408  -23.297579
  -13.134449 ]
 [-15.697844  -20.004078  -20.371416  ... -38.827248  -30.59903
  -12.379064 ]
 [ -1.7099159   0.8905405   1.2894883 ... -32.876953  -27.714397
   -8.619804 ]
 ...
 [-41.30888   -42.952076  -41.49649   ... -50.68654   -51.57653
  -52.86226  ]
 [-41.024937  -44.385742  -45.52675   ... -52.86226   -52.86226
  -52.86226  ]
 [-43.945244  -48.518406  -52.86226   ... -52.86226   -52.86226
  -52.86226  ]]"
c,./Guitar_Only/c/c45.wav,"[[-54.412975 -47.77258  -40.769787 ... -49.19846  -51.949787 -38.783524]
 [-54.471786 -43.887154 -41.959187 ... -50.09994  -48.50254  -37.047653]
 [-55.4962   -32.715893 -24.150427 ... -36.61282  -36.269196 -29.756794]
 ...
 [-70.81164  -65.02551  -58.106632 ... -70.81164  -70.81164  -70.81164 ]
 [-70.81164  -65.74021  -59.41519  ... -70.81164  -70.81164  -70.81164 ]
 [-70.81164  -70.81164  -66.39383  ... -70.81164  -70.81164  -70.81164 ]]"
c,./Guitar_Only/c/c189.wav,"[[-22.729778  -22.157028  -21.08035   ... -22.273275  -22.926777
  -17.635015 ]
 [-24.11526   -20.219471  -20.21797   ... -41.979404  -37.26306
  -19.30619  ]
 [-18.043764   -2.0702631   3.3617969 ... -33.453323  -32.699963
  -16.445858 ]
 ...
 [-25.683653  -20.036324  -20.932932  ... -52.709717  -52.738823
  -51.60264  ]
 [-32.08535   -25.906546  -24.73589   ... -53.74792   -53.74792
  -53.74792  ]
 [-44.22679   -39.198193  -39.49802   ... -53.74792   -53.74792
  -53.74792  ]]"
c,./Guitar_Only/c/c137.wav,"[[-20.720139  -22.056181  -22.036402  ... -22.019537  -19.698715
   -7.6032963]
 [-19.759491  -22.997406  -23.015583  ... -39.0525    -24.32534
   -6.1187553]
 [ -2.444335   -3.6232338  -5.903097  ... -36.169952  -23.741293
   -3.9453702]
 ...
 [-20.727772  -21.513369  -28.181017  ... -51.18092   -51.18092
  -51.18092  ]
 [-27.536911  -28.151447  -32.863953  ... -51.18092   -51.18092
  -51.18092  ]
 [-42.976166  -42.194096  -43.832363  ... -51.18092   -51.18092
  -51.18092  ]]"
c,./Guitar_Only/c/c127.wav,"[[-18.7964     -20.11013    -21.907497   ... -21.505901   -19.34395
   -8.062069  ]
 [-16.72984    -20.110672   -25.49655    ... -31.210205   -24.304064
   -6.883754  ]
 [ -1.2023029    0.15934469  -1.2852417  ... -20.41236    -19.37444
   -6.2507515 ]
 ...
 [-19.410072   -17.775663   -16.268944   ... -50.00976    -50.00976
  -50.00976   ]
 [-22.366898   -20.484215   -21.456831   ... -50.00976    -50.00976
  -50.00976   ]
 [-27.506252   -30.24445    -34.408443   ... -50.00976    -50.00976
  -50.00976   ]]"
c,./Guitar_Only/c/c112.wav,"[[-15.292545    5.2794304   6.9938498 ... -22.095177  -22.24126
  -21.531345 ]
 [ -7.5261445   5.2523003   6.718087  ... -27.487328  -28.894405
  -24.03217  ]
 [  4.6796093   6.5412817   7.9272914 ... -14.896227  -15.807175
  -18.245203 ]
 ...
 [-19.650162  -14.134351  -13.519851  ... -47.953167  -47.953167
  -47.953167 ]
 [-22.12795   -20.517061  -21.975462  ... -47.953167  -47.953167
  -47.953167 ]
 [-35.62169   -33.93277   -34.9728    ... -47.953167  -47.953167
  -47.953167 ]]"
c,./Guitar_Only/c/c21.wav,"[[-27.77895  -24.602577 -22.438435 ... -50.660316 -49.103592 -36.55125 ]
 [-42.948093 -44.246525 -52.70858  ... -64.71532  -56.091515 -37.605194]
 [-31.062738 -27.735624 -27.157604 ... -58.72767  -53.76278  -36.627457]
 ...
 [-56.61976  -57.1576   -62.650803 ... -78.66111  -78.08079  -76.295006]
 [-59.173985 -58.51435  -61.294693 ... -82.39208  -81.19859  -81.35975 ]
 [-62.25448  -60.072815 -61.87428  ... -82.93323  -82.93323  -82.93323 ]]"
c,./Guitar_Only/c/c64.wav,"[[-39.777893 -36.50965  -40.09022  ... -38.341423 -38.67603  -37.888657]
 [-42.31598  -46.7436   -55.18282  ... -65.556366 -61.77556  -45.00689 ]
 [-28.112898 -25.889061 -26.117067 ... -63.23616  -58.287506 -40.99102 ]
 ...
 [-66.5767   -67.57119  -75.269684 ... -76.86389  -78.033844 -79.17127 ]
 [-75.07129  -76.31112  -83.20171  ... -81.67794  -83.907486 -83.28735 ]
 [-83.68466  -84.93976  -87.448586 ... -87.448586 -87.448586 -87.448586]]"
c,./Guitar_Only/c/c94.wav,"[[-37.36693  -37.97772  -37.017677 ... -38.43248  -37.84908  -36.588966]
 [-63.052834 -46.9632   -43.060535 ... -64.340775 -56.641064 -38.144768]
 [-56.88068  -39.32323  -32.32997  ... -63.623344 -55.635696 -36.10103 ]
 ...
 [-76.320244 -65.62117  -62.027115 ... -79.20187  -78.44611  -77.86946 ]
 [-82.46513  -73.851654 -71.068825 ... -82.40541  -81.08612  -80.52815 ]
 [-87.54459  -84.84947  -81.09109  ... -88.09782  -88.09782  -88.09782 ]]"
c,./Guitar_Only/c/c165.wav,"[[-12.4351845 -16.459711  -22.699005  ... -22.555847  -21.56457
  -15.653437 ]
 [-12.33604   -18.00011   -35.35955   ... -36.21151   -30.634892
  -12.969006 ]
 [ -6.187846   -3.8930414  -5.033514  ... -39.91203   -30.945913
  -10.122925 ]
 ...
 [-35.59214   -39.69561   -49.059757  ... -53.31817   -52.9256
  -54.581573 ]
 [-36.06275   -40.20587   -53.11102   ... -58.910824  -56.913918
  -57.626347 ]
 [-40.408512  -46.320084  -61.23489   ... -61.23489   -61.23489
  -61.23489  ]]"
c,./Guitar_Only/c/c3.wav,"[[-35.13756  -35.131287 -35.572044 ... -41.027683 -41.43206  -39.163536]
 [-50.19864  -39.724117 -38.8559   ... -56.506977 -55.041344 -38.874664]
 [-48.868595 -27.758883 -21.050468 ... -59.98889  -54.57727  -37.73347 ]
 ...
 [-74.79605  -71.012856 -69.6057   ... -74.79605  -74.79605  -74.79605 ]
 [-74.79605  -73.22035  -72.09469  ... -74.79605  -74.79605  -74.79605 ]
 [-74.79605  -74.79605  -74.79605  ... -74.79605  -74.79605  -74.79605 ]]"
c,./Guitar_Only/c/c85.wav,"[[-31.190664 -31.797323 -33.10397  ... -34.481846 -34.58892  -35.22597 ]
 [-48.986645 -44.86371  -41.413254 ... -63.978294 -54.817856 -36.640224]
 [-48.661263 -36.956238 -26.303688 ... -60.76466  -53.481613 -32.994747]
 ...
 [-76.138275 -64.837585 -59.141613 ... -77.47269  -78.17204  -77.21177 ]
 [-76.73567  -68.52049  -63.30923  ... -79.64857  -79.64857  -79.64857 ]
 [-76.98682  -74.44647  -69.6017   ... -79.64857  -79.64857  -79.64857 ]]"
c,./Guitar_Only/c/c154.wav,"[[ -3.149091   -9.425477  -22.349281  ... -22.676489  -23.062504
   -8.653579 ]
 [ -1.5584267  -7.6591115 -38.76132   ... -35.066296  -26.232899
   -8.214787 ]
 [  1.3000857  -2.2373266  -6.7884398 ... -41.007175  -26.728363
   -6.6807365]
 ...
 [-38.111637  -43.048367  -49.84817   ... -53.204124  -53.15648
  -50.19833  ]
 [-39.557976  -45.03851   -55.902348  ... -59.41361   -58.4326
  -54.5915   ]
 [-39.893982  -45.87092   -60.810097  ... -60.810097  -60.810097
  -60.810097 ]]"
c,./Guitar_Only/c/c48.wav,"[[-45.454018 -37.388866 -36.055153 ... -39.328186 -36.37338  -35.428387]
 [-58.69895  -51.30428  -43.897213 ... -65.78677  -57.90317  -50.239754]
 [-51.33667  -43.18619  -35.74658  ... -63.68743  -57.81469  -39.37982 ]
 ...
 [-72.29851  -64.970474 -60.725014 ... -72.29851  -72.29851  -72.29851 ]
 [-72.29851  -70.260864 -63.46067  ... -72.29851  -72.29851  -72.29851 ]
 [-72.29851  -72.29851  -72.197525 ... -72.29851  -72.29851  -72.29851 ]]"
c,./Guitar_Only/c/c11.wav,"[[-34.271248 -33.021152 -32.813988 ... -31.440905 -31.505547 -31.726192]
 [-48.43026  -42.114517 -42.32826  ... -67.72523  -57.885216 -42.141796]
 [-45.380203 -28.917429 -23.184889 ... -60.984882 -54.793007 -40.238426]
 ...
 [-74.03878  -70.88986  -70.13572  ... -74.03878  -74.03878  -74.03878 ]
 [-74.03878  -74.03878  -74.03878  ... -74.03878  -74.03878  -74.03878 ]
 [-74.03878  -74.03878  -74.03878  ... -74.03878  -74.03878  -74.03878 ]]"
c,./Guitar_Only/c/c61.wav,"[[-42.003746 -34.472794 -33.622826 ... -41.736256 -42.01499  -31.26619 ]
 [-51.05871  -32.377167 -30.742495 ... -67.28456  -49.279037 -30.246956]
 [-56.930637 -26.930668 -18.45721  ... -57.720905 -47.498554 -28.18311 ]
 ...
 [-64.62234  -52.14     -47.837276 ... -77.91206  -77.91206  -77.52908 ]
 [-68.40932  -53.92723  -48.191723 ... -77.91206  -77.91206  -77.91206 ]
 [-77.91206  -67.47296  -63.880695 ... -77.91206  -77.91206  -77.91206 ]]"
c,./Guitar_Only/c/c78.wav,"[[-32.12338  -32.051544 -31.853733 ... -36.154037 -35.301674 -32.451458]
 [-63.727203 -63.294197 -48.882385 ... -64.647835 -50.645996 -31.973263]
 [-57.528305 -52.701675 -36.69495  ... -60.7637   -50.075592 -30.066195]
 ...
 [-78.81801  -77.984955 -57.8181   ... -77.4426   -77.69828  -78.034454]
 [-80.04499  -80.04499  -61.69701  ... -80.04499  -80.04499  -80.04499 ]
 [-80.04499  -80.04499  -75.313385 ... -80.04499  -80.04499  -80.04499 ]]"
c,./Guitar_Only/c/c149.wav,"[[-18.000196  -22.067959  -21.710846  ... -22.141232  -23.53461
   -8.861803 ]
 [-16.382725  -21.705961  -29.899937  ... -37.892303  -26.268032
   -7.865751 ]
 [  4.324008    8.179457    8.569578  ... -10.739464  -10.469626
   -3.8400924]
 ...
 [-17.650263  -21.604082  -28.247385  ... -45.869656  -45.869656
  -45.869656 ]
 [-22.370605  -26.328089  -30.98758   ... -45.869656  -45.869656
  -45.869656 ]
 [-24.373245  -30.075935  -42.877613  ... -45.869656  -45.869656
  -45.869656 ]]"
